cid,class,sogou,alibaba,handle
0,ak47,ak47,ak47,ak47
1,american-flag,美国国旗,美国国旗,美国国旗
2,backpack,背包,背包,背包
3,baseball-bat,棒球棍,棒球棒,棒球棍
4,baseball-glove,棒球手套,棒球手套,棒球手套
5,basketball-hoop,篮球框,篮球圈,篮球框
6,bat,蝙蝠,蝙蝠,蝙蝠
7,bathtub,浴缸,浴缸,浴缸
8,bear,熊,熊,熊
9,beer-mug,啤酒杯,啤酒杯,啤酒杯
10,billiards,台球,台球,台球
11,binoculars,双筒望远镜,双筒望远镜,双筒望远镜
12,birdbath,供鸟戏水的水盆,水浴,供鸟戏水的水盆
13,blimp,软式小型飞船,飞艇,飞艇
14,bonsai-101,盆景-101,bonsai-101,盆景-101
15,boom-box,吊杆箱,吊杆箱,大型手提式收音播音机
16,bowling-ball,保龄球,保龄球,保龄球
17,bowling-pin,保龄球瓶,保龄球针,保龄球瓶
18,boxing-glove,拳击手套,拳击手套,拳击手套
19,brain-101,大脑-101,大脑-101,大脑-101
20,breadmaker,面包机,面包机,面包机
21,buddha-101,佛-101,佛陀-101,佛像-101
22,bulldozer,推土机,推土机,推土机
23,butterfly,蝴蝶,蝴蝶,蝴蝶
24,cactus,仙人掌,仙人掌,仙人掌
25,cake,蛋糕,蛋糕,蛋糕
26,calculator,计算器,计算器,计算器
27,camel,骆驼,骆驼,骆驼
28,cannon,大炮,加农炮,大炮
29,canoe,独木舟,独木舟,独木舟
30,car-tire,汽车轮胎,汽车轮胎,汽车轮胎
31,cartman,卡车司机,卡特曼,卡特曼
32,cd,激光唱片,cd,激光唱片
33,centipede,蜈蚣,蜈蚣,蜈蚣
34,cereal-box,谷物盒,谷物盒,麦片盒
35,chandelier-101,吊灯-101,吊灯-101,吊灯-101
36,chess-board,棋盘,国际象棋棋盘,棋盘
37,chimp,黑猩猩,黑猩猩,黑猩猩
38,chopsticks,筷子,筷子,筷子
39,cockroach,蟑螂,蟑螂,蟑螂
40,coffee-mug,咖啡杯,咖啡杯,咖啡杯
41,coffin,棺材,棺材,棺材
42,coin,硬币,硬币,硬币
43,comet,彗星,彗星,彗星
44,computer-keyboard,电脑键盘,电脑键盘,电脑键盘
45,computer-monitor,电脑显示器,计算机显示器,电脑显示器
46,computer-mouse,电脑鼠标,电脑鼠标,电脑鼠标
47,conch,海螺壳,海螺,海螺壳
48,cormorant,鸬鹚,鸬鹚,鸬鹚
49,covered-wagon,有篷货车,覆盖货车,有篷货车
50,cowboy-hat,牛仔帽,牛仔帽,牛仔帽
51,crab-101,螃蟹-101,螃蟹-101,螃蟹-101
52,desk-globe,台式地球仪,桌面地球仪,台式地球仪
53,diamond-ring,钻石戒指,钻石戒指,钻石戒指
54,dice,骰子,骰子,骰子
55,dog,狗,狗,狗
56,dolphin-101,海豚-101,海豚-101,海豚-101
57,doorknob,门把手,门把手,门把手
58,drinking-straw,吸管,吸管,吸管
59,duck,鸭肉,鸭子,鸭子
60,dumb-bell,哑铃,哑铃,哑铃
61,eiffel-tower,埃菲尔铁塔,埃菲尔铁塔,埃菲尔铁塔
62,electric-guitar-101,电吉他-101,电吉他101,电吉他-101
63,elephant-101,大象-101,大象-101,大象-101
64,elk,麋鹿,麋鹿,麋鹿
65,ewer-101,ewer-101,ewer-101,大口水壶-101
66,eyeglasses,眼镜,眼镜,眼镜
67,fern,蕨,蕨类植物,蕨类植物
68,fighter-jet,战斗机,战斗机,战斗机
69,fire-extinguisher,灭火器,灭火器,灭火器
70,fire-hydrant,消防龙头,消火栓,消防栓
71,fire-truck,消防车,消防车,消防车
72,fireworks,烟花，烟火,烟花,烟花
73,flashlight,手电筒,手电筒,手电筒
74,floppy-disk,软盘,软盘,软盘
75,football-helmet,足球头盔,足球头盔,美式橄榄球头盔
76,french-horn,法国号,法国号,圆号
77,fried-egg,煎蛋,煎蛋,煎蛋
78,frisbee,飞盘,飞盘,飞盘
79,frog,青蛙,青蛙,青蛙
80,frying-pan,煎锅,煎锅,煎锅
81,galaxy,星系,银河,星系
82,gas-pump,气泵,气泵,加油枪
83,giraffe,长颈鹿,长颈鹿,长颈鹿
84,goat,山羊,山羊,山羊
85,golden-gate-bridge,金门大桥,金门大桥,金门大桥
86,goldfish,金鱼,金鱼,金鱼
87,golf-ball,高尔夫球,高尔夫球,高尔夫球
88,goose,鹅,鹅,鹅
89,gorilla,大猩猩,大猩猩,大猩猩
90,grand-piano-101,大钢琴-101,三角钢琴-101,大钢琴-101
91,grapes,葡萄,葡萄,葡萄
92,grasshopper,蝗虫,蚱蜢,蚱蜢
93,guitar-pick,吉他拨片,吉他拨片,吉他拨片
94,hamburger,汉堡牛肉饼,汉堡,汉堡
95,hammock,吊床,吊床,吊床
96,harmonica,口琴,口琴,口琴
97,harp,竖琴,竖琴,竖琴
98,harpsichord,大键琴,大键琴,大键琴
99,hawksbill-101,玳瑁-101,霍克斯比尔-101,玳瑁-101
100,head-phones,耳机,耳机,耳机
101,helicopter-101,直升机-101,直升机-101,直升机-101
102,hibiscus,木槿,芙蓉,木槿
103,homer-simpson,荷马-辛普森,荷马-辛普森,霍默·辛普森
104,horse,马,马,马
105,horseshoe-crab,马蹄蟹,马蹄蟹,马蹄蟹
106,hot-air-balloon,热气球,热气球,热气球
107,hot-dog,热狗,热狗,热狗
108,hot-tub,热水浴缸,热水浴缸,热水浴缸
109,hourglass,沙漏,沙漏,沙漏
110,house-fly,家蝇,house-fly,家蝇
111,human-skeleton,人体骨骼,人体骨骼,人体骨骼
112,hummingbird,蜂鸟,蜂鸟,蜂鸟
113,ibis-101,宜必思-101,ibis-101,朱鹮-101
114,ice-cream-cone,冰淇淋蛋卷,冰淇淋蛋卷,冰淇淋蛋卷
115,iguana,美洲鬣蜥,鬣蜥,美洲鬣蜥
116,ipod,ipod,ipod,ipod
117,iris,虹膜,虹膜,鸢尾花
118,jesus-christ,耶稣基督,耶稣基督,耶稣基督
119,joy-stick,操纵杆,快乐棒,操纵杆
120,kangaroo-101,袋鼠-101,袋鼠-101,袋鼠-101
121,kayak,皮船,皮划艇,皮划艇
122,ketch-101,凯奇-101,ketch-101,双桅小帆船-101
123,killer-whale,虎鲸,虎鲸,虎鲸
124,knife,刀,刀,刀
125,ladder,阶梯,梯子,梯子
126,laptop-101,笔记本电脑-101,laptop-101,笔记本电脑-101
127,lathe,车床,车床,车床
128,leopards-101,豹子-101,豹子-101,豹-101
129,license-plate,牌照,车牌,牌照
130,lightbulb,电灯泡,灯泡,电灯泡
131,light-house,灯塔,光屋,灯塔
132,lightning,闪电,闪电,闪电
133,llama-101,骆驼-101,骆驼-101,美洲驼-101
134,mailbox,邮筒,邮箱,邮筒
135,mandolin,曼陀林,曼陀林,曼陀林
136,mars,火星,火星,火星
137,mattress,床垫,床垫,床垫
138,megaphone,扩音器,扩音器,扩音器
139,menorah-101,烛台-101,烛台-101,烛台-101
140,microscope,显微镜,显微镜,显微镜
141,microwave,微波,微波,微波炉
142,minaret,尖塔,尖塔,尖塔
143,minotaur,人身牛头怪物,牛头怪,牛头人身怪物
144,motorbikes-101,摩托车-101,摩托车-101,摩托车-101
145,mountain-bike,山地车,山地自行车,山地车
146,mushroom,蘑菇,蘑菇,蘑菇
147,mussels,贻贝,贻贝,贻贝
148,necktie,领带,领带,领带
149,octopus,章鱼,章鱼,章鱼
150,ostrich,鸵鸟,鸵鸟,鸵鸟
151,owl,猫头鹰,猫头鹰,猫头鹰
152,palm-pilot,掌上领航员,掌上飞行员,PDA
153,palm-tree,棕榈树,棕榈树,棕榈树
154,paperclip,曲别针,回形针,曲别针
155,paper-shredder,碎纸机,碎纸机,碎纸机
156,pci-card,pci卡,pci卡,pci卡
157,penguin,企鹅,企鹅,企鹅
158,people,人,人,人
159,pez-dispenser,pez分配器,pez-分配器,贝思糖果盒
160,photocopier,复印机,复印机,复印机
161,picnic-table,野餐桌,野餐桌,野餐桌
162,playing-card,扑克牌,扑克牌,扑克牌
163,porcupine,豪猪,豪猪,豪猪
164,pram,婴儿车,婴儿车,婴儿车
165,praying-mantis,螳螂,螳螂,螳螂
166,pyramid,金字塔,金字塔,金字塔
167,raccoon,浣熊,浣熊,浣熊
168,radio-telescope,射电望远镜,射电望远镜,射电望远镜
169,rainbow,彩虹,彩虹,彩虹
170,refrigerator,冰箱,冰箱,冰箱
171,revolver-101,左轮手枪101,左轮手枪-101,左轮手枪-101
172,rifle,步枪,步枪,步枪
173,rotary-phone,旋转式电话,旋转电话,旋转式电话
174,roulette-wheel,轮盘赌,轮盘赌轮,轮盘赌
175,saddle,车座,鞍座,鞍座
176,saturn,土星,土星,土星
177,school-bus,校车,校车,校车
178,scorpion-101,蝎子-101,蝎子-101,蝎子-101
179,screwdriver,螺丝刀,螺丝刀,螺丝刀
180,segway,赛格威,赛格威,赛格威
181,self-propelled-lawn-mower,自行式割草机,自行式割草机,自行式割草机
182,sextant,六分仪,六分仪,六分仪
183,sheet-music,活页乐谱,乐谱,乐谱
184,skateboard,滑板,滑板,滑板
185,skunk,臭鼬,臭鼬,臭鼬
186,skyscraper,摩天大楼,摩天大楼,摩天大楼
187,smokestack,烟囱,烟囱,烟囱
188,snail,蜗牛,蜗牛,蜗牛
189,snake,蛇,蛇,蛇
190,sneaker,运动鞋,运动鞋,运动鞋
191,snowmobile,雪地机动车,雪地摩托,雪地摩托
192,soccer-ball,足球,足球,足球
193,socks,袜子,袜子,袜子
194,soda-can,汽水罐,汽水罐,汽水罐
195,spaghetti,意大利式细面条,意大利面条,意大利面
196,speed-boat,快艇,快艇,快艇
197,spider,蜘蛛；状似蜘蛛的物体；星形轮；十字叉；连接柄；十字头,蜘蛛,蜘蛛
198,spoon,匙,勺子,匙
199,stained-glass,彩色玻璃,彩色玻璃,彩色玻璃
200,starfish-101,海星-101,海星-101,海星-101
201,steering-wheel,方向盘,方向盘,方向盘
202,stirrups,马镫,箍筋,马镫
203,sunflower-101,向日葵-101,向日葵-101,向日葵-101
204,superman,超人,超人,超人
205,sushi,寿司,寿司,寿司
206,swan,天鹅,天鹅,天鹅
207,swiss-army-knife,瑞士军刀,瑞士军刀,瑞士军刀
208,sword,剑,剑,剑
209,syringe,注射器,注射器,注射器
210,tambourine,铃鼓,铃鼓,铃鼓
211,teapot,茶壶,茶壶,茶壶
212,teddy-bear,泰迪熊,泰迪熊,泰迪熊
213,teepee,同ＴＥＰＥＥ,圆锥形帐篷,圆锥形帐篷
214,telephone-box,电话亭,电话亭,电话亭
215,tennis-ball,网球,网球,网球
216,tennis-court,网球场,网球场,网球场
217,tennis-racket,网球拍,网球拍,网球拍
218,theodolite,经纬仪,经纬仪,经纬仪
219,toaster,祝酒人,烤面包机,烤面包机
220,tomato,番茄,番茄,番茄
221,tombstone,墓碑,墓碑,墓碑
222,top-hat,上流社会的,礼帽,高顶礼帽
223,touring-bike,旅行自行车,旅游自行车,旅行自行车
224,tower-pisa,比萨斜塔,塔-比萨,比萨斜塔
225,traffic-light,交通灯,交通灯,交通灯
226,treadmill,踏车,跑步机,跑步机
227,triceratops,三角恐龙,三角龙,三角恐龙
228,tricycle,三轮车,三轮车,三轮车
229,trilobite-101,三叶虫-101,三叶虫-101,三叶虫-101
230,tripod,三脚架,三脚架,三脚架
231,t-shirt,t恤,T恤,t恤
232,tuning-fork,音叉,音叉,音叉
233,tweezer,镊子,镊子,镊子
234,umbrella-101,雨伞-101,雨伞-101,雨伞-101
235,unicorn,独角兽企业,独角兽,独角兽
236,vcr,录像机,录像机,录像机
237,video-projector,视频投影仪,视频投影仪,视频投影仪
238,washing-machine,洗衣机,洗衣机,洗衣机
239,watch-101,手表-101,手表-101,手表-101
240,waterfall,瀑布,瀑布,瀑布
241,watermelon,西瓜,西瓜,西瓜
242,welding-mask,焊接面罩,焊接-面罩,焊接面罩
243,wheelbarrow,独轮手推车,独轮车,独轮手推车
244,windmill,风车,风车,风车
245,wine-bottle,酒瓶,酒瓶,酒瓶
246,xylophone,木琴,木琴,木琴
247,yarmulke,学习,圆顶,犹太圆顶小帽
248,yo-yo,蠢人,溜溜球,溜溜球
249,zebra,斑马,斑马,斑马
250,airplanes-101,飞机-101,飞机-101,飞机-101
251,car-side-101,汽车侧-101,汽车-侧面-101,汽车侧-101
252,faces-easy-101,面孔-简单-101,面孔-容易-101,面孔-简单-101
253,greyhound,灰狗,灰狗,灰狗
254,tennis-shoes,网球鞋,网球鞋,网球鞋
255,toad,蟾蜍,蟾蜍,蟾蜍
256,clutter,杂乱,杂波,其它
